City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
424,solnechnyy,0,RU,1525644433,67,50.72,136.64,33.5,5.84
425,shalya,92,RU,1525644433,95,57.25,58.73,45.11,13.0
426,nabire,0,ID,1525644434,95,-3.36,135.5,65.27,1.36
427,ahuimanu,90,US,1525641300,65,21.44,-157.84,84.2,12.75
428,kholodnyy,0,RU,1525644434,98,62.72,147.95,32.51,3.71
429,lakes entrance,0,AU,1525644434,100,-37.88,147.99,51.41,6.29
430,south yuba city,1,US,1525642800,31,39.12,-121.64,75.2,5.82
431,ninghai,40,CN,1525640400,78,29.29,121.42,77.0,4.47
432,sydney,0,AU,1525642200,72,-33.85,151.22,59.0,8.05
433,balikpapan,0,ID,1525644435,100,-1.24,116.86,81.29,2.04
434,santa vitoria do palmar,0,BR,1525644150,85,-33.52,-53.37,66.98,11.99
435,saint-pierre,0,FR,1525642200,59,48.95,4.24,64.4,6.93
436,komsomolskiy,64,RU,1525644436,79,67.55,63.78,13.88,4.72
437,shellbrook,75,CA,1525640400,25,53.22,-106.39,80.6,18.34
438,sokol,8,RU,1525644436,86,59.46,40.11,41.33,3.83
439,tura,32,IN,1525644436,99,25.52,90.21,67.88,4.27
440,tromso,75,NO,1525641600,93,69.65,18.96,39.2,8.05
441,carman,1,CA,1525643700,19,49.51,-98.0,78.8,17.22
442,elko,1,US,1525640160,11,40.83,-115.76,78.8,14.99
443,muli,0,IN,1525644437,66,22.62,71.45,78.41,11.65
444,fare,76,PF,1525644437,100,-16.7,-151.02,81.47,15.23
445,ambilobe,0,MG,1525644437,77,-13.19,49.05,72.47,8.63
446,skibotn,75,NO,1525641600,97,69.39,20.27,39.2,8.05
447,kundla,0,IN,1525644438,65,21.34,71.31,77.69,10.2
448,waiouru,0,NZ,1525644271,86,-39.48,175.67,45.38,7.74
449,ngunguru,12,NZ,1525644438,100,-35.62,174.5,62.66,13.78
450,merauke,56,ID,1525644438,96,-8.49,140.4,78.77,8.41
451,teahupoo,75,PF,1525642200,66,-17.83,-149.27,84.2,8.05
452,big spring,1,US,1525642500,25,32.25,-101.48,93.2,8.05
453,puerto rico,36,PY,1525644359,95,-26.82,-55.03,69.95,2.71
454,xiamen,75,CN,1525640400,88,24.46,118.07,78.8,2.24
455,saravan,75,AM,1525642200,87,39.72,45.65,57.2,4.7
456,shimoda,90,JP,1525641420,87,34.7,138.93,59.0,16.69
457,talnakh,0,RU,1525644439,42,69.49,88.39,4.97,3.94
458,nauta,32,PE,1525644439,75,-4.51,-73.58,85.07,3.6
459,tatarsk,56,RU,1525644440,82,55.22,75.96,26.03,3.04
460,jaisalmer,8,IN,1525644440,33,26.91,70.91,86.33,13.78
461,ligayan,0,PH,1525644440,100,4.65,119.47,83.45,2.26
462,puri,0,ID,1525644440,89,-7.54,112.45,69.95,3.94
463,lata,88,IN,1525644440,93,30.78,78.62,47.9,2.59
464,jay,1,US,1525642500,28,36.42,-94.8,86.0,6.93
465,xai-xai,0,MZ,1525644441,100,-25.04,33.64,70.31,7.29
466,bulgan,0,MN,1525644441,75,48.81,103.53,39.98,2.59
467,sur,8,OM,1525644441,85,22.57,59.53,84.71,4.61
468,polson,8,US,1525644264,50,47.69,-114.16,68.6,2.82
469,salinopolis,36,BR,1525644441,100,-0.61,-47.36,81.47,10.31
470,derzhavinsk,0,KZ,1525644441,72,51.1,66.31,32.6,8.41
471,imeni poliny osipenko,68,RU,1525644442,61,52.42,136.49,36.2,6.96
472,egvekinot,56,RU,1525644442,87,66.32,-179.17,16.76,8.97
473,humaita,90,AR,1525640400,82,-24.93,-65.37,69.8,6.93
474,rehoboth,0,NA,1525644442,39,-23.31,17.08,51.32,6.17
475,oksfjord,75,NO,1525641600,80,70.24,22.35,39.2,28.86
476,tanete,12,ID,1525644442,96,-3.94,119.78,75.53,6.4
477,hobyo,24,SO,1525644443,95,5.35,48.53,77.6,7.52
478,clyde river,1,CA,1525640400,84,70.47,-68.59,5.0,3.36
479,ilulissat,48,GL,1525639800,72,69.22,-51.1,17.6,3.36
480,tolaga bay,0,NZ,1525644443,69,-38.37,178.3,58.43,9.75
481,pangkalanbuun,0,ID,1525644443,88,-2.68,111.62,75.89,4.61
482,abu zabad,0,SD,1525644444,32,12.35,29.25,83.63,9.98
483,desbiens,20,CA,1525640400,42,48.42,-71.95,46.4,8.05
484,ubala,0,YE,1525644444,64,13.89,44.44,50.51,2.71
485,ratnagiri,80,IN,1525644444,100,16.98,73.3,83.09,3.04
486,abu samrah,76,SY,1525644444,44,35.3,37.18,65.54,7.07
487,beringovskiy,80,RU,1525644444,100,63.05,179.32,23.96,18.7
488,xuanhua,32,CN,1525644445,67,40.61,115.04,41.69,2.26
489,milas,40,TR,1525642860,82,37.31,27.78,62.6,2.24
490,matara,32,PE,1525644445,46,-13.74,-72.9,57.08,2.48
491,klyuchi,24,RU,1525644445,71,52.25,79.17,34.31,14.67
492,rajshahi,92,BD,1525644445,96,24.37,88.59,73.37,6.96
493,sayyan,0,YE,1525644446,26,15.17,44.32,51.05,4.16
494,gigmoto,44,PH,1525644446,100,13.78,124.39,79.67,5.39
495,redondela,0,ES,1525642200,63,42.28,-8.61,62.6,3.36
496,diamantino,12,BR,1525644447,65,-14.4,-56.44,84.17,4.16
497,skjervoy,32,NO,1525644448,99,70.03,20.97,38.99,23.17
498,oriximina,68,BR,1525644448,64,-1.77,-55.87,85.88,4.94
499,alofi,0,NU,1525640400,61,-19.06,-169.92,78.8,8.05
500,tsaratanana,80,MG,1525644449,72,-16.8,47.65,74.45,5.73
501,mildura,64,AU,1525644449,91,-34.18,142.16,47.45,8.86
502,buritis,0,BR,1525644449,48,-15.62,-46.42,79.49,6.96
503,rexburg,20,US,1525642800,25,43.82,-111.79,82.4,13.87
504,fairbanks,90,US,1525640280,27,64.84,-147.72,51.8,10.29
505,wawa,8,NG,1525644450,66,9.9,4.41,83.72,9.75
506,vidim,0,CZ,1525642200,62,50.47,14.53,55.4,9.17
507,kem,24,UG,1525644450,93,2.68,33.77,66.8,0.58
508,fort-shevchenko,88,KZ,1525644450,51,44.51,50.26,68.6,21.05
509,peniche,0,PT,1525642200,48,39.36,-9.38,64.4,2.24
510,cortez,1,US,1525639980,8,37.35,-108.58,78.8,12.75
511,sao jose da coroa grande,36,BR,1525644451,87,-8.9,-35.15,76.97,7.52
